id,name,artist,key,mode,tempo,time_signature,duration_ms,danceability,energy,loudness,speechiness,acousticness,instrumentalness,liveness,valence,analysis_url,preview_url
2el13qIMOd8cripOqNohGB,Mataz,Lucybell,11,1,90.037,4,345467,0.739,0.583,-7.885,0.0356,0.0683,0.0131,0.307,0.662,https://api.spotify.com/v1/audio-analysis/2el13qIMOd8cripOqNohGB,
1kjs5eR4DMzyB0gm1Z8waV,DANCE CRIP,Trueno,0,1,106.024,4,165019,0.857,0.766,-3.699,0.0978,0.108,0,0.0817,0.864,https://api.spotify.com/v1/audio-analysis/1kjs5eR4DMzyB0gm1Z8waV,https://p.scdn.co/mp3-preview/7340a6a3a997bdc99b0e91d2d11f48d79e76fd42?cid=d15799fa66d145678638eaacc0278873
1CHIyvldODAZvaMrtitxT1,Sueños,Tiro De Gracia,1,1,101.967,4,321880,0.832,0.862,-5.1,0.12,0.0713,0,0.153,0.961,https://api.spotify.com/v1/audio-analysis/1CHIyvldODAZvaMrtitxT1,
7G7CveTF706x0PYxnpDsM5,Coolo,Illya Kuryaki & The Valderramas,6,0,104.316,4,247120,0.766,0.946,-3.998,0.088,0.284,0,0.0621,0.829,https://api.spotify.com/v1/audio-analysis/7G7CveTF706x0PYxnpDsM5,
6bBqycwOrmADaMs5isZv6Q,"Nuestra Fiesta (Okupa, Segura Y No Molesta)",Tiro De Gracia,10,1,104.938,4,127707,0.745,0.719,-7.348,0.343,0.433,0,0.781,0.789,https://api.spotify.com/v1/audio-analysis/6bBqycwOrmADaMs5isZv6Q,
1MSRIh0BHzrMMUQGlV6I5o,Nature's Ratio,Slowly Rolling Camera,7,1,0,0,117947,0,0.0473,-16.737,0,0.979,0.959,0.187,0,https://api.spotify.com/v1/audio-analysis/1MSRIh0BHzrMMUQGlV6I5o,https://p.scdn.co/mp3-preview/a6374ccebfdd071950f6e0005ae6bb8385640240?cid=d15799fa66d145678638eaacc0278873
1nDn4CeL8u5O6QIm8rPu9j,More Love Less Hate,Louis Cole,8,1,173.258,5,60896,0.11,0.232,-18.884,0.0409,0.991,0.974,0.267,0.0791,https://api.spotify.com/v1/audio-analysis/1nDn4CeL8u5O6QIm8rPu9j,https://p.scdn.co/mp3-preview/f48e3608bb062bdbfb1f73e1dd5740a88d3c2c5d?cid=d15799fa66d145678638eaacc0278873
1jICgYoQuukOtDI2jnGcJC,Sweet Lullaby,Deep Forest,2,1,90.083,4,230973,0.577,0.503,-12.784,0.0378,0.313,0.714,0.342,0.414,https://api.spotify.com/v1/audio-analysis/1jICgYoQuukOtDI2jnGcJC,https://p.scdn.co/mp3-preview/66399cc2f39629bc47faba59ea0889214c4d2353?cid=d15799fa66d145678638eaacc0278873
3GmIpLMTwp72sei8B2qrvL,Ambo,The Album Leaf,0,1,100.072,3,293507,0.499,0.2,-15.057,0.0398,0.892,0.912,0.0528,0.0658,https://api.spotify.com/v1/audio-analysis/3GmIpLMTwp72sei8B2qrvL,https://p.scdn.co/mp3-preview/7464a86657ce19f508f8bfe205f2644d245017c1?cid=d15799fa66d145678638eaacc0278873
7lNltzNCgEKUF6hJI7smRW,Invocacion - Original Mix,Nicola Cruz,6,0,90.003,4,226667,0.718,0.55,-13.147,0.191,0.402,0.502,0.134,0.339,https://api.spotify.com/v1/audio-analysis/7lNltzNCgEKUF6hJI7smRW,https://p.scdn.co/mp3-preview/3c6d43e143bf8d5117cef790d65885be5253c495?cid=d15799fa66d145678638eaacc0278873
3XupqAQAoYnYVV8hBkTZ7G,Cannibal (with Elizabeth Fraser),Jónsi_Elizabeth Fraser,6,1,114.281,4,297720,0.245,0.336,-9.204,0.0309,0.628,0.000112,0.401,0.172,https://api.spotify.com/v1/audio-analysis/3XupqAQAoYnYVV8hBkTZ7G,https://p.scdn.co/mp3-preview/f78d2ee980b31f63e55fd79460f145c1ab4a82d9?cid=d15799fa66d145678638eaacc0278873
23BeruxRg4y6KoDQXYX5J1,Barakaat,Spencer Mbadu_Abdullah Ibrahim_Robbie Jansen_Monty Weber_Johnny Mekoa_Errol Dyers_Basil Mannenberg Coetzee,3,0,141.356,4,210000,0.412,0.0068,-24.392,0.059,0.988,0.925,0.122,0.321,https://api.spotify.com/v1/audio-analysis/23BeruxRg4y6KoDQXYX5J1,https://p.scdn.co/mp3-preview/10a4425634a5b06d34a10cbe57854c22c9f3e58a?cid=d15799fa66d145678638eaacc0278873
4ZCUYLHdrf6YeblkQVSOcY,Barakaat,Abdullah Ibrahim,10,0,140.769,4,294733,0.556,0.47,-16.532,0.0342,0.217,0.887,0.114,0.429,https://api.spotify.com/v1/audio-analysis/4ZCUYLHdrf6YeblkQVSOcY,https://p.scdn.co/mp3-preview/2f680507c57e31e95a7a6956e36c2f8831fcbaad?cid=d15799fa66d145678638eaacc0278873
6wcyjWiDbdL26mBzi3aHKr,Better Way - War Mix,Ben Harper,10,1,117.085,4,238467,0.663,0.784,-8.565,0.0399,0.233,0.000424,0.11,0.587,https://api.spotify.com/v1/audio-analysis/6wcyjWiDbdL26mBzi3aHKr,
